x        m             v        
0.00   0.000000000   0.552594214 
0.01   0.005525982   0.552606038 
0.02   0.011052200   0.552641510 
0.03   0.016578891   0.552700627 
0.04   0.022106291   0.552783388 
0.05   0.027634637   0.552889787 
0.06   0.033164165   0.553019819 
0.07   0.038695112   0.553173477 
0.08   0.044227714   0.553350755 
0.09   0.049762206   0.553551641 
0.10   0.055298825   0.553776127 
0.11   0.060837807   0.554024200 
0.12   0.066379388   0.554295848 
0.13   0.071923803   0.554591057 
0.14   0.077471287   0.554909811 
0.15   0.083022077   0.555252093 
0.16   0.088576408   0.555617887 
0.17   0.094134513   0.556007172 
0.18   0.099696629   0.556419928 
0.19   0.105262990   0.556856134 
0.20   0.110833830   0.557315766 
0.21   0.116409383   0.557798800 
0.22   0.121989884   0.558305210 
0.23   0.127575565   0.558834970 
0.24   0.133166661   0.559388049 
0.25   0.138763404   0.559964419 
0.26   0.144366027   0.560564049 
0.27   0.149974763   0.561186905 
0.28   0.155589842   0.561832953 
0.29   0.161211499   0.562502158 
0.30   0.166839963   0.563194482 
0.31   0.172475465   0.563909887 
0.32   0.178118237   0.564648334 
0.33   0.183768509   0.565409779 
0.34   0.189426509   0.566194180 
0.35   0.195092469   0.567001493 
0.36   0.200766615   0.567831670 
0.37   0.206449178   0.568684664 
0.38   0.212140385   0.569560424 
0.39   0.217840462   0.570458901 
0.40   0.223549638   0.571380040 
0.41   0.229268138   0.572323788 
0.42   0.234996189   0.573290086 
0.43   0.240734015   0.574278878 
0.44   0.246481841   0.575290104 
0.45   0.252239892   0.576323700 
0.46   0.258008390   0.577379605 
0.47   0.263787558   0.578457751 
0.48   0.269577619   0.579558072 
0.49   0.275378793   0.580680499 
0.50   0.281191302   0.581824960 
0.51   0.287015366   0.582991382 
0.52   0.292851203   0.584179689 
0.53   0.298699032   0.585389805 
0.54   0.304559071   0.586621649 
0.55   0.310431537   0.587875141 
0.56   0.316316646   0.589150197 
0.57   0.322214613   0.590446731 
0.58   0.328125652   0.591764656 
0.59   0.334049977   0.593103881 
0.60   0.339987800   0.594464314 
0.61   0.345939334   0.595845861 
0.62   0.351904787   0.597248424 
0.63   0.357884372   0.598671904 
0.64   0.363878295   0.600116201 
0.65   0.369886765   0.601581210 
0.66   0.375909988   0.603066825 
0.67   0.381948170   0.604572937 
0.68   0.388001515   0.606099435 
0.69   0.394070226   0.607646206 
0.70   0.400154506   0.609213133 
0.71   0.406254555   0.610800097 
0.72   0.412370574   0.612406978 
0.73   0.418502761   0.614033651 
0.74   0.424651313   0.615679991 
0.75   0.430816426   0.617345867 
0.76   0.436998295   0.619031148 
