x        m             v        
  0.00   0.000000000   0.539401692 
  0.01   0.005394061   0.539414958 
  0.02   0.010788388   0.539454755 
  0.03   0.016183245   0.539521081 
  0.04   0.021578898   0.539613934 
  0.05   0.026975612   0.539733307 
  0.06   0.032373652   0.539879194 
  0.07   0.037773284   0.540051589 
  0.08   0.043174772   0.540250481 
  0.09   0.048578382   0.540475861 
  0.10   0.053984378   0.540727716 
  0.11   0.059393024   0.541006034 
  0.12   0.064804587   0.541310798 
  0.13   0.070219329   0.541641994 
  0.14   0.075637514   0.541999603 
  0.15   0.081059409   0.542383607 
  0.16   0.086485275   0.542793984 
  0.17   0.091915376   0.543230712 
  0.18   0.097349977   0.543693769 
  0.19   0.102789339   0.544183128 
  0.20   0.108233727   0.544698763 
  0.21   0.113683402   0.545240645 
  0.22   0.119138627   0.545808746 
  0.23   0.124599664   0.546403032 
  0.24   0.130066775   0.547023472 
  0.25   0.135540221   0.547670031 
  0.26   0.141020262   0.548342672 
  0.27   0.146507161   0.549041356 
  0.28   0.152001176   0.549766045 
  0.29   0.157502568   0.550516697 
  0.30   0.163011597   0.551293268 
  0.31   0.168528520   0.552095714 
  0.32   0.174053597   0.552923987 
  0.33   0.179587086   0.553778040 
  0.34   0.185129243   0.554657820 
  0.35   0.190680328   0.555563277 
  0.36   0.196240594   0.556494355 
  0.37   0.201810300   0.557450998 
  0.38   0.207389699   0.558433148 
  0.39   0.212979048   0.559440744 
  0.40   0.218578599   0.560473725 
  0.41   0.224188607   0.561532025 
  0.42   0.229809324   0.562615579 
  0.43   0.235441002   0.563724317 
  0.44   0.241083894   0.564858168 
  0.45   0.246738249   0.566017060 
  0.46   0.252404318   0.567200917 
  0.47   0.258082350   0.568409661 
  0.48   0.263772594   0.569643212 
  0.49   0.269475297   0.570901489 
  0.50   0.275190706   0.572184406 
  0.51   0.280919067   0.573491877 
  0.52   0.286660625   0.574823810 
  0.53   0.292415624   0.576180116 
  0.54   0.298184308   0.577560698 
  0.55   0.303966919   0.578965460 
  0.56   0.309763698   0.580394301 
  0.57   0.315574885   0.581847119 
  0.58   0.321400720   0.583323809 
  0.59   0.327241440   0.584824263 
  0.60   0.333097284   0.586348370 
  0.61   0.338968486   0.587896016 
  0.62   0.344855282   0.589467085 
  0.63   0.350757905   0.591061458 
  0.64   0.356676588   0.592679013 
  0.65   0.362611562   0.594319623 
  0.66   0.368563057   0.595983161 
  0.67   0.374531302   0.597669496 
  0.68   0.380516523   0.599378493 
  0.69   0.386518947   0.601110015 
  0.70   0.392538798   0.602863920 
  0.71   0.398576299   0.604640066 
  0.72   0.404631673   0.606438304 
  0.73   0.410705138   0.608258485 
  0.74   0.416796915   0.610100455 
  0.75   0.422907220   0.611964056 
